,name,films,tv_shows,short_films,allies,enemies,park_attractions,films_count,tv_shows_count,short_films_count,park_attractions_count,enemies_count,allies_count
4035,Madame Upanova,"['Fantasia', 'Who Framed Roger Rabbit']","['Aladdin (TV series)', 'House of Mouse']",,,,"['Fantasmic!', 'SpectroMagic', 'Wonderful World of Animation']",2,2,0,3,0,0
4036,Maddie Flour,,['Amphibia'],,,,,0,1,0,0,0,0
4037,Madellaine,['The Hunchback of Notre Dame II'],,,,,,1,0,0,0,0,0
4038,Magic Cobbler,,['Goldie & Bear'],,,,,0,1,0,0,0,0
4039,Magic Gnome,,['Goldie & Bear'],,,,,0,1,0,0,0,0
4040,Magic Man,['James and the Giant Peach'],,,,,,1,0,0,0,0,0
4041,Mama Heffalump,"[""Pooh's Heffalump Movie"", 'Tigger & Pooh and a Musical Too', 'Super Duper Super Sleuths']",['My Friends Tigger and Pooh'],,,,,3,1,0,0,0,0
4042,Mama Plane,['Saludos Amigos'],,,,,,1,0,0,0,0,0
4043,Margot Yale,,['Gargoyles'],,,,,0,1,0,0,0,0
4044,Marius von Fundshauser,,['Gravity Falls'],,,,,0,1,0,0,0,0
4045,Peter Mark,['The Mighty Ducks'],,,,,,1,0,0,0,0,0
4046,Markowski,['Wreck-It Ralph (film)'],,,,,,1,0,0,0,0,0
4047,Martin,['The Parent Trap (1998 film)'],,,,,,1,0,0,0,0,0
4048,Mary,"['Cinderella', 'Cinderella II: Dreams Come True', 'Cinderella III: A Twist in Time', ""Mickey's Magical Christmas: Snowed in at the House of Mouse"", 'Ralph Breaks the Internet']","['House of Mouse', 'At Home With Olaf']",,,,,5,2,0,0,0,0
4049,Marzipan,,['Adventures of the Gummi Bears'],,,,,0,1,0,0,0,0
4050,Master Control Program,['TRON'],,,,,,1,0,0,0,0,0
4051,Maurice,"['Beauty and the Beast (1991 film)', 'Beauty and the Beast: The Enchanted Christmas', 'Beauty and the Beast (2017 film)']","['House of Mouse', 'Sing Me a Story with Belle', 'Once Upon a Time']",,,,,3,3,0,0,0,0
